,address1,address2,address3,address,long,lat
77,7310 MAIN ST,HOUSTON,77030,"7310 MAIN ST, HOUSTON, TX 77030",-95.4088041,29.7022291
78,2109 MARONEAL ST,HOUSTON,77030,"2109 MARONEAL ST, HOUSTON, TX 77030",-95.40817,29.7034506
79,2223 MCCLENDON ST,HOUSTON,77030,"2223 MCCLENDON ST, HOUSTON, TX 77030",-95.4110748,29.7082499
80,2325 BLUE BONNET BLVD,HOUSTON,77030,"2325 BLUE BONNET BLVD, HOUSTON, TX 77030",-95.411668,29.7008491
81,2339 BELLEFONTAINE ST,HOUSTON,77030,"2339 BELLEFONTAINE ST, HOUSTON, TX 77030",-95.4137137,29.7033825
82,2501 GOLDSMITH ST,HOUSTON,77030,"2501 GOLDSMITH ST, HOUSTON, TX 77030",-95.41671079999999,29.7100389
83,6 BRAESWOOD CT,HOUSTON,77030,"6 BRAESWOOD CT, HOUSTON, TX 77030",-95.4124045,29.6984729
84,2330 UNDERWOOD ST,HOUSTON,77030,"2330 UNDERWOOD ST, HOUSTON, TX 77030",-95.4119953,29.7002943
85,2154 DRYDEN RD,HOUSTON,77030,"2154 DRYDEN RD, HOUSTON, TX 77030",-95.4087019,29.7134446
86,2036 ADDISON RD,HOUSTON,77030,"2036 ADDISON RD, HOUSTON, TX 77030",-95.4065131,29.7110751
87,2335 BELLEFONTAINE ST,HOUSTON,77030,"2335 BELLEFONTAINE ST, HOUSTON, TX 77030",-95.41352959999999,29.7034126
88,2102 SOUTHGATE BLVD,HOUSTON,77030,"2102 SOUTHGATE BLVD, HOUSTON, TX 77030",-95.4076791,29.7096967
89,2523 WATTS ST,HOUSTON,77030,"2523 WATTS ST, HOUSTON, TX 77030",-95.4177235,29.7107081
90,2336 GLEN HAVEN BLVD,HOUSTON,77030,"2336 GLEN HAVEN BLVD, HOUSTON, TX 77030",-95.4130795,29.7019421
91,2207 DRYDEN RD,HOUSTON,77030,"2207 DRYDEN RD, HOUSTON, TX 77030",-95.41046109999999,29.7131474
92,2340 N BRAESWOOD BLVD,HOUSTON,77030,"2340 N BRAESWOOD BLVD, HOUSTON, TX 77030",-95.41445019999999,29.6986602
93,2034 DRYDEN RD,HOUSTON,77030,"2034 DRYDEN RD, HOUSTON, TX 77030",-95.4057972,29.7124351
94,2216 SWIFT BLVD,HOUSTON,77030,"2216 SWIFT BLVD, HOUSTON, TX 77030",-95.41091109999999,29.7129034
95,2056 DRYDEN RD,HOUSTON,77030,"2056 DRYDEN RD, HOUSTON, TX 77030",-95.40661539999999,29.7127627
96,2102 MCCLENDON ST,HOUSTON,77030,"2102 MCCLENDON ST, HOUSTON, TX 77030",-95.40765859999999,29.7087726
97,2327 MARONEAL ST,HOUSTON,77030,"2327 MARONEAL ST, HOUSTON, TX 77030",-95.41246579999999,29.7025987
98,2512 BLUE BONNET BLVD,HOUSTON,77030,"2512 BLUE BONNET BLVD, HOUSTON, TX 77030",-95.41698699999999,29.7009931
99,1936 SWIFT BLVD,HOUSTON,77030,"1936 SWIFT BLVD, HOUSTON, TX 77030",-95.40457049999999,29.7112217
100,2331 BELLEFONTAINE ST,HOUSTON,77030,"2331 BELLEFONTAINE ST, HOUSTON, TX 77030",-95.41299769999999,29.7033891
101,2335 BLUE BONNET BLVD,HOUSTON,77030,"2335 BLUE BONNET BLVD, HOUSTON, TX 77030",-95.4123022,29.7006653
102,2255 GOLDSMITH ST,HOUSTON,77030,"2255 GOLDSMITH ST, HOUSTON, TX 77030",-95.4122203,29.7099627
103,2531 SWIFT BLVD,HOUSTON,77030,"2531 SWIFT BLVD, HOUSTON, TX 77030",-95.417969,29.7123222
104,2500 GLEN HAVEN BLVD,HOUSTON,77030,"2500 GLEN HAVEN BLVD, HOUSTON, TX 77030",-95.4165779,29.7020926
105,2410 WORDSWORTH ST,HOUSTON,77030,"2410 WORDSWORTH ST, HOUSTON, TX 77030",-95.41543220000001,29.7089068
106,2351 BLUE BONNET BLVD,HOUSTON,77030,"2351 BLUE BONNET BLVD, HOUSTON, TX 77030",-95.4143888,29.7004449
